2023-03-14 21:02:12,659: Key.left
2023-03-14 21:02:12,904: Key.up
2023-03-14 21:02:13,271: Key.down
2023-03-14 21:02:13,482: Key.left
2023-03-14 21:02:13,651: Key.right
2023-03-14 21:02:14,120: Key.down
2023-03-14 21:02:14,260: Key.left
2023-03-14 21:02:14,581: Key.right
2023-03-14 21:02:14,794: Key.down
2023-03-14 21:02:14,923: Key.left
2023-03-14 21:02:18,299: 'k'
2023-03-14 21:02:18,688: 'e'
2023-03-14 21:02:19,044: 'y'
2023-03-14 21:02:20,047: 'l'
2023-03-14 21:02:20,202: 'o'
2023-03-14 21:02:20,525: 'g'
2023-03-14 21:02:22,250: 's'
2023-03-14 21:02:22,823: '.'
2023-03-14 21:02:23,176: 't'
2023-03-14 21:02:23,383: 'x'
2023-03-14 21:02:23,597: 't'
2023-03-14 21:02:24,776: Key.backspace
2023-03-14 21:02:25,279: Key.backspace
2023-03-14 21:02:25,310: Key.backspace
2023-03-14 21:02:25,357: Key.backspace
2023-03-14 21:02:25,387: Key.backspace
2023-03-14 21:02:25,418: Key.backspace
2023-03-14 21:02:25,450: Key.backspace
2023-03-14 21:02:25,482: Key.backspace
2023-03-14 21:02:25,513: Key.backspace
2023-03-14 21:02:25,543: Key.backspace
2023-03-14 21:02:25,574: Key.backspace
2023-03-14 21:02:25,606: Key.backspace
2023-03-14 21:02:25,654: Key.backspace
2023-03-14 21:02:25,686: Key.backspace
2023-03-14 21:02:25,717: Key.backspace
2023-03-14 21:02:25,748: Key.backspace
2023-03-14 21:02:25,779: Key.backspace
2023-03-14 21:02:25,811: Key.backspace
2023-03-14 21:02:25,843: Key.backspace
2023-03-14 21:02:25,875: Key.backspace
2023-03-14 21:02:25,907: Key.backspace
2023-03-14 21:02:25,938: Key.backspace
2023-03-14 21:02:25,969: Key.backspace
2023-03-14 21:02:26,016: Key.backspace
2023-03-14 21:02:27,949: 't'
2023-03-14 21:02:28,329: 'x'
2023-03-14 21:02:28,542: 't'
2023-03-14 21:02:29,259: Key.enter
2023-03-14 21:02:37,733: Key.ctrl_l
2023-03-14 21:02:37,893: '\x13'
2023-03-14 21:02:39,242: 'k'
2023-03-14 21:02:39,352: 'e'
2023-03-14 21:02:39,655: 'y'
2023-03-14 21:02:39,809: 'l'
2023-03-14 21:02:39,949: 'o'
2023-03-14 21:02:40,218: 'g'
2023-03-14 21:02:40,329: 's'
2023-03-14 21:02:42,271: Key.enter
2023-03-14 21:02:46,689: Key.up
2023-03-14 21:02:46,826: Key.left
2023-03-14 21:02:47,024: Key.right
2023-03-14 21:02:47,165: Key.down
2023-03-14 21:02:47,323: Key.left
2023-03-14 21:02:47,463: Key.right
2023-03-14 21:02:47,633: Key.down
2023-03-14 21:02:47,796: Key.left
2023-03-14 21:02:47,920: Key.right
2023-03-14 21:02:48,117: Key.down
2023-03-14 21:02:48,555: 'k'
2023-03-14 21:02:48,559: 'j'
2023-03-14 21:02:48,969: 'k'
2023-03-14 21:02:49,384: 'n'
2023-03-14 21:02:49,860: Key.backspace
2023-03-14 21:02:50,043: Key.backspace
2023-03-14 21:02:50,222: Key.backspace
2023-03-14 21:02:50,625: Key.backspace
